Task Set,Task ID,Successes x/29,Avg Steps,Avg Discounted Return
Reach,R_1,29,3.6206896551724137,0.9486648717241379
Reach,R_2,29,4.896551724137931,0.9244979960275863
Reach,R_3,29,6.0344827586206895,0.9036157415435476
Avoid 2,A2_1,3,2.0,0.10139310344827586
Avoid 2,A2_2,28,3.107142857142857,0.9254587586206897
Avoid 2,A2_3,2,1.0,0.06896551724137931
Avoid 2,A2_4,10,7.3,0.3039166904965031
Avoid 2,A2_5,19,3.3684210526315788,0.6246717351724138
Avoid 3,A3_1,0,,0.0
Avoid 3,A3_2,11,2.6363636363636362,0.3671017986206896
Avoid 3,A3_3,23,3.130434782608696,0.759858488275862
Avoid 3,A3_4,1,1.0,0.034482758620689655
Avoid 4,A4_1,3,2.0,0.10139310344827586
Avoid 4,A4_2,9,1.8888888888888888,0.3048689655172414
Avoid 4,A4_3,15,1.4666666666666666,0.5124413793103448
Avoid 4,A4_4,12,2.0833333333333335,0.4049373793103448
Avoid 4,A4_5,21,1.7619047619047619,0.7131721379310345
Avoid 5,A4_1,0,,0.0
Avoid 5,A4_2,1,1.0,0.034482758620689655
Avoid 5,A4_3,2,1.0,0.06896551724137931
Avoid 5,A4_4,2,1.0,0.06896551724137931
Avoid 5,A4_5,3,2.0,0.10139310344827586
Avoid 5,A4_6,0,,0.0
Reach Avoid General,RA_1,29,3.4482758620689653,0.9522032045263449
Reach Avoid General,RA_2,26,1.8846153846153846,0.8807997241379311
Reach Avoid General,RA_3,1,1.0,0.034482758620689655
Reach Avoid General,RA_4,20,2.55,0.6685641379310345
Reach Avoid General,RA_5,26,3.3076923076923075,0.8558571144827586
Reach Avoid General,RA_6,14,2.5,0.4684678620689655
Reach Avoid General,RA_7,16,3.0625,0.529334631724138
